DNI del Paciente,Nombre del paciente,Apellido del paciente,Codigo ICD10,Monto base,Complejidad,ID_Algoritmo
37037561,Lucia,Garcia,M53.5,57576.56,A,3
35979608,Jorge,Gomez,A07.2,64456.28,R,4
26743438,Julieta,Gonzalez,M19.4,94065.26,A,1
41784150,Ana,Suarez,S11.5,40333.5,A,1
28569739,Florencia,Martinez,A05.3,37601.66,A,3
17514905,Pedro,Torres,F40.7,37991.09,R,1
21308059,Juan,Garcia,J01.6,67652.62,A,2
46512012,Jose,Alvarez,J41.6,85692.44,R,2
52206384,Valentina,Lopez,I14.2,29333.66,R,1
13719970,Martin,Rojas,M79.2,86394.95,A,5
34213805,Marta,Perez,A08.6,71409.29,A,8
47868414,Diego,Gomez,C14.1,43926.24,R,3
52600779,Nicolas,Martinez,J02.2,73216.81,R,2
18686889,Florencia,Silva,F31.2,76721.63,R,4
26602677,Maria,Rodriguez,F47.8,15454.59,R,5
38710982,Nicolas,Rodriguez,E12.2,79344.93,R,2
52551565,Jorge,Mendez,C43.6,77422.95,R,9
31095076,Camila,Ruiz,M15.6,99582.77,R,1
46349392,Jorge,Suarez,B82.0,14762.57,A,12
50992599,Lucia,Sosa,C44.1,70449.13,R,2
30206427,Diego,Garcia,M16.0,45929.32,A,3
52820020,Juan,Ruiz,I22.7,43688.68,A,1
30502785,Martin,Silva,M17.9,57056.81,A,3
38536941,Julieta,Torres,E78.3,59055.97,A,2
25877735,Juan,Gimenez,A06.0,27517.48,A,3
12436061,Jose,Gimenez,B82.4,70303.23,A,2
15758530,Marta,Silva,B16.4,12036.82,A,2
44408324,Florencia,Suarez,A42.2,40827.22,A,3
34176388,Juan,Perez,J18.9,45030.62,R,13
37793720,Luis,Martinez,I66.3,91310.1,R,7
40507406,Valentina,Mendez,F43.8,49340.71,R,8
31658618,Julieta,Gomez,C44.3,99414.87,A,1
14140405,Nicolas,Torres,A20.5,52782.76,A,11
30084332,Diego,Garcia,I14.2,71149.29,A,13
16832670,Sofia,Fernandez,E10.9,38008.98,A,5
46950066,Nicolas,Silva,A05.5,70987.64,R,1
39685832,Martin,Torres,C38.5,17769.41,R,8
10378649,Valentina,Silva,E78.3,31569.78,A,11
54212399,Laura,Rodriguez,C22.6,72494.9,R,3
38847766,Camila,Garcia,C26.3,89984.36,A,13
15040413,Maria,Rojas,S11.5,64301.29,R,3
34476101,Carlos,Gomez,J12.7,71778.49,R,13
11225246,Julieta,Perez,A48.9,46305.48,R,11
45607804,Carlos,Rojas,J04.8,39864.98,A,12
40678406,Jose,Torres,A06.1,40692.27,R,3
38971912,Jorge,Sosa,M16.3,68100.58,R,3
50806899,Lucia,Martinez,B82.0,33196.05,R,1
52150855,Maria,Suarez,B24.4,68867.88,R,6
43228511,Sofia,Torres,E11.1,52717.09,R,11
28598107,Julieta,Lopez,S00.6,96458.67,A,2
38168505,Julieta,Sosa,C43.4,68328.5,A,2
42829685,Julieta,Ruiz,S28.2,60017.47,A,5
51035160,Valentina,Perez,J46.8,49982.9,A,11
54944742,Diego,Acosta,I61.1,86459.3,A,3
49413040,Laura,Sosa,B20.5,27200.84,R,3
39816018,Nicolas,Martinez,M79.4,66165.99,R,5
17403358,Jose,Diaz,B16.8,97605.92,R,2
27639228,Martin,Rodriguez,M52.3,74907.86,R,8
48476670,Martin,Lopez,B80.9,67948.99,R,2
25263850,Sofia,Ruiz,M16.5,77169.62,A,1
51796002,Laura,Alvarez,C09.7,61601.48,R,1
34014349,Ana,Alvarez,M52.3,67462.08,R,2
18629717,Carlos,Rodriguez,I22.9,65111.82,R,1
38871889,Sofia,Gonzalez,B23.2,10939.17,R,9
24030058,Camila,Rojas,S04.3,26513.96,R,3
33911236,Camila,Rojas,E67.5,32898.93,R,11
16083424,Valeria,Gomez,E14.9,15296.98,A,2
36954967,Sofia,Sosa,A25.6,63608.7,A,2
25885356,Martin,Perez,M79.5,61059.89,A,12
24663636,Jose,Rojas,F33.3,73579.08,A,9
43881906,Martin,Torres,J05.4,84803.93,A,7
50579727,Pedro,Mendez,F46.6,78463.68,R,11
34163787,Pedro,Perez,C50.2,53801.09,R,9
54472471,Julieta,Gomez,F44.4,99563.55,A,6
42192992,Matias,Rojas,E65.3,74795.28,R,4
45664372,Marta,Sosa,B82.9,50837.92,A,2
37561452,Valeria,Gimenez,M52.3,18763.93,A,2
42982095,Camila,Acosta,A07.4,12032.37,R,1
11540413,Martin,Gimenez,B23.8,33398.7,A,5
30086424,Pedro,Alvarez,E11.2,29186.75,R,3
32521195,Florencia,Martinez,C15.5,69647.61,R,7
26348849,Diego,Garcia,J18.3,64841.28,R,11
35683597,Pedro,Gomez,S51.5,63209.54,R,12
34147295,Maria,Suarez,A27.4,33360.72,A,2
16171430,Jorge,Torres,M16.1,20480.3,R,3
15682113,Jose,Fernandez,S51.0,11462.6,R,2
14391225,Diego,Gonzalez,M79.7,32894.67,R,11
37057794,Carlos,Silva,C23.7,69419.21,R,8
52409165,Ana,Sosa,S86.8,15182.8,R,2
17126208,Valentina,Gonzalez,J17.7,61501.08,R,3
54016599,Jorge,Diaz,A34.7,47214.09,A,2
19148482,Julieta,Romero,A27.5,30846.6,A,11
23976085,Juan,Martinez,F46.6,87502.79,R,3
28493258,Lucia,Romero,B81.3,92593.99,A,13
36351607,Ana,Acosta,M18.7,52407.59,A,1
22697965,Lucas,Gimenez,F38.2,47532.84,A,1
10914070,Florencia,Silva,I67.0,15360.44,A,2
40310802,Juan,Diaz,F47.8,21843.08,R,9
27795989,Valentina,Gonzalez,I63.2,72886.68,R,3
12044506,Camila,Gimenez,E65.3,54391.11,R,2
18295674,Sofia,Martinez,A30.1,52791.11,R,3
12967220,Ana,Martinez,B83.2,39763.27,R,2
19905005,Sofia,Suarez,B16.2,81707.49,A,12
44519682,Camila,Martinez,I20.7,81443.04,A,1
42372164,Lucia,Sosa,M50.6,31856.46,A,2
28991780,Valentina,Fernandez,B80.9,71677.62,R,1
11134062,Luis,Lopez,S57.2,86983.02,R,7
16314115,Nicolas,Silva,C17.7,45953.81,A,6
33032231,Ana,Diaz,I20.3,45707.97,A,8
15224833,Pedro,Lopez,E65.9,25133.43,A,2
53718479,Martin,Torres,C32.9,57736.55,A,5
53693102,Camila,Torres,B20.6,75269.11,R,3
12839559,Diego,Gimenez,E65.3,60201.15,A,4
49945085,Diego,Gimenez,B81.9,40967.18,R,2
32887246,Lucas,Ruiz,B24.0,16554.19,R,2
11452312,Julieta,Romero,C21.4,35732.59,A,3
35404023,Luis,Torres,J44.2,12034.6,R,6
31613335,Matias,Gimenez,S89.6,41805.75,R,2
20123626,Sofia,Fernandez,A04.5,86405.3,R,2
47754266,Luis,Fernandez,E10.1,49455.61,R,1
15883889,Julieta,Martinez,E78.6,27274.36,A,11
45487739,Florencia,Perez,I67.8,83461.05,A,2
22894404,Julieta,Sosa,I12.2,27657.24,A,10
43661456,Valeria,Sosa,F36.8,37933.36,A,3
40730067,Lucas,Gonzalez,E11.8,59179.7,A,11
33284067,Julieta,Martinez,C43.4,96666.85,A,2
36898729,Luis,Romero,I25.9,83604.32,A,12
22235079,Matias,Sosa,B19.3,84562.69,R,1
36267355,Julieta,Gimenez,S51.9,75989.45,A,4
31919360,Diego,Romero,A36.4,73242.17,R,12
33794014,Juan,Alvarez,A04.8,92458.15,R,13
39783800,Valentina,Silva,S20.0,56658.79,A,1
40920199,Martin,Gimenez,E78.0,62296.82,R,8
33704258,Camila,Garcia,M50.6,28652.04,A,3
16415930,Jorge,Alvarez,A23.7,33958.26,A,2
11478927,Carlos,Lopez,M79.1,40636.27,A,4
12509371,Matias,Rodriguez,I21.4,66410.87,A,2
29653030,Matias,Suarez,I24.1,99602.08,A,1
15165068,Diego,Garcia,F46.3,93626.09,R,1
39863133,Valeria,Martinez,A21.9,55833.77,R,3
44173632,Ana,Mendez,J09.5,47199.68,R,1
11142277,Florencia,Alvarez,B17.9,94604.9,R,5
15006163,Jose,Mendez,C16.1,14858.68,R,9
38175804,Juan,Lopez,E11.0,58380.96,R,12
54975228,Jorge,Acosta,S82.2,64014.53,R,3
45735458,Lucas,Acosta,J45.7,68405.08,A,13
25795672,Maria,Garcia,B80.2,69094.82,R,13
50048825,Lucia,Mendez,I21.0,66582.08,A,3
23998406,Diego,Garcia,C19.3,24982.39,A,7
33889278,Nicolas,Mendez,M51.6,67365.76,A,8
52856314,Lucas,Gonzalez,A20.6,61962.77,A,7
35272028,Diego,Diaz,C44.4,45771.53,A,10
20281882,Laura,Rojas,B18.7,58976.31,A,1
29977863,Matias,Garcia,E78.6,15914.7,R,2
53889688,Matias,Alvarez,M16.2,34255.99,A,3
28024503,Nicolas,Gonzalez,S84.7,95667.5,A,1
14745151,Diego,Perez,S84.8,92474.57,R,9
26827416,Juan,Suarez,M17.5,21663.95,A,3
22175715,Luis,Acosta,M79.4,29074.58,R,3
46426107,Sofia,Fernandez,E78.9,75219.3,R,3
54564763,Valentina,Alvarez,E78.3,13227.68,R,3
34358948,Valentina,Rodriguez,A08.4,44582.55,A,2
22660335,Lucas,Torres,E78.5,44957.59,R,3
48647699,Marta,Fernandez,E12.1,10040.84,A,7
51878253,Lucas,Suarez,J09.3,97931.35,A,7
42286731,Florencia,Romero,I12.4,94378.3,A,3
22704982,Laura,Gonzalez,B81.3,38411.42,A,1
35311488,Jorge,Alvarez,M15.8,20095.52,A,1
35418224,Julieta,Fernandez,S01.9,92932.17,A,13
44532491,Nicolas,Perez,C25.3,14189.01,A,11
48766713,Jose,Perez,E11.5,42453.29,A,3
45644294,Julieta,Ruiz,M79.1,86713.71,A,3
40568842,Julieta,Fernandez,C50.8,13337.63,R,3
21207955,Valentina,Rodriguez,I21.5,49481.49,R,3
50097155,Carlos,Gomez,B80.3,38812.44,R,4
16881209,Diego,Gonzalez,J12.9,76741.34,A,13
26362090,Nicolas,Diaz,E66.0,95322.84,A,13
51739535,Lucas,Sosa,M54.5,79552.35,R,13
41470956,Juan,Torres,S05.3,28782.4,A,10
47560351,Florencia,Silva,B24.0,81136.88,R,3
14097686,Valentina,Rodriguez,I15.1,74979.34,R,11
32694161,Nicolas,Martinez,M50.2,46488.39,R,11
50347863,Marta,Martinez,C43.2,86428.98,A,1
11739022,Carlos,Alvarez,I11.4,10124.81,A,2
27378682,Juan,Perez,J44.3,48307.49,A,2
21033409,Nicolas,Acosta,E11.8,95384.71,R,1
39213095,Florencia,Martinez,F47.4,87192.72,A,5
52216776,Jose,Gimenez,F41.9,39839.17,A,2
28573159,Luis,Ruiz,I13.7,66870.16,A,1
19132629,Juan,Martinez,J46.3,38323.81,R,2
14366667,Maria,Sosa,C15.5,97726.32,A,12
29599983,Matias,Garcia,B80.5,69272.24,A,2
13000128,Luis,Lopez,S01.0,57985.21,R,3
31790401,Camila,Garcia,J04.6,57923.56,R,1
40638091,Camila,Perez,F48.5,22324.9,A,3
23803453,Marta,Mendez,I14.5,42756.15,A,3
19423839,Florencia,Romero,J45.8,89914.84,R,4
30052051,Valeria,Ruiz,A27.7,63234.11,A,4
15982431,Maria,Torres,B17.2,53923.87,A,4
30221703,Martin,Gonzalez,B80.3,98156.5,R,1
32594347,Lucas,Gomez,E66.6,85868.55,R,1
11345586,Nicolas,Torres,B20.5,54947.12,A,3
25515253,Camila,Ruiz,S01.3,22884.29,R,2
50032836,Sofia,Rojas,M52.6,25999.32,A,3
39854242,Camila,Torres,I65.4,43996.65,R,3
32050616,Valentina,Perez,E65.6,79922.22,R,5
27196316,Matias,Torres,A07.9,22055.76,R,3
19568558,Julieta,Alvarez,M18.2,48606.17,A,11
29669827,Ana,Ruiz,C44.4,38192.44,R,2
13020495,Diego,Rojas,C43.8,60997.6,R,2
30428974,Lucas,Garcia,A20.9,25417.89,R,1
43779728,Valeria,Diaz,J41.6,54307.63,A,3
46796329,Lucia,Garcia,F32.8,41731.69,A,7
31977428,Pedro,Gonzalez,S10.6,88370.7,A,1
31732098,Luis,Diaz,M52.3,67847.3,A,1
38132185,Ana,Ruiz,C32.9,66046.58,A,2
41341477,Nicolas,Mendez,E78.5,70660.21,A,8
43242429,Diego,Diaz,M53.7,48536.74,A,11
26585430,Lucia,Lopez,B16.7,77103.75,A,1
48384766,Martin,Silva,S06.0,18175.95,R,3
36665186,Marta,Perez,I11.5,76624.17,R,2
52635083,Pedro,Acosta,F38.7,25927.47,R,3
22133218,Julieta,Ruiz,M17.3,71180.06,A,2
41499263,Laura,Silva,B19.5,62018.6,R,8
18262373,Laura,Ruiz,C44.6,73323.78,A,13
38864449,Florencia,Alvarez,F45.4,87639.59,A,2
46555730,Florencia,Gimenez,F36.5,72842.92,R,3
36755598,Matias,Perez,F35.8,37493.45,A,6
46952245,Laura,Torres,B81.7,67992.96,R,4
48109285,Sofia,Ruiz,B21.1,86581.61,R,2
11391107,Martin,Garcia,M16.4,22041.54,R,3
25008751,Pedro,Silva,I68.7,21961.65,A,9
54231113,Valentina,Gomez,S29.9,43947.69,A,1
48589894,Valentina,Alvarez,B24.3,51662.94,A,4
30543289,Jorge,Alvarez,M79.2,15663.27,A,2
42480047,Carlos,Sosa,E78.0,64986.94,A,1
14773125,Diego,Perez,C09.9,49506.88,R,12
54948699,Nicolas,Alvarez,A06.2,95051.73,R,2
50932290,Sofia,Gomez,M79.4,14071.84,R,1
22943455,Jose,Gomez,A24.7,40133.12,A,12
34619519,Sofia,Torres,J41.7,20513.02,R,2
25352430,Valeria,Romero,J41.9,86947.92,A,4
21310872,Juan,Rodriguez,B23.6,57019.25,R,1
22107304,Jose,Rojas,J41.8,29842.62,R,3
49808382,Jose,Romero,I22.3,62684.82,A,3
22359946,Matias,Alvarez,S14.5,32888.91,A,2
50310832,Ana,Alvarez,S89.8,20710.85,R,7
37788398,Juan,Mendez,E66.2,42628.04,R,2
26333463,Lucas,Torres,F38.3,50687.1,A,1
29072580,Matias,Alvarez,B81.4,83524.8,A,1
38250582,Florencia,Mendez,J13.3,34545.95,R,3
50077545,Lucas,Rojas,A02.7,61915.21,R,2
26453392,Sofia,Gimenez,E14.1,30022.4,A,3
47523388,Diego,Perez,S89.9,42790.53,R,3
26980597,Julieta,Acosta,J42.5,52631.87,A,2
34448742,Florencia,Ruiz,A43.5,81275.75,A,13
18184051,Jose,Gomez,J42.3,13814.34,A,12
47379792,Matias,Romero,S07.0,36029.16,A,6
27116645,Camila,Sosa,I20.4,56235.52,A,1
19134102,Luis,Gomez,A28.1,95477.15,R,12
13329070,Maria,Torres,E78.8,45331.56,A,3
30022945,Diego,Ruiz,S87.7,17097.13,R,2
33525152,Nicolas,Lopez,S87.1,13854.73,A,2
48459376,Carlos,Alvarez,M79.4,37768.67,R,3
39766334,Pedro,Acosta,A07.0,36459.55,A,10
13715281,Juan,Martinez,M54.0,67574.03,R,3
52472525,Carlos,Silva,I60.0,66734.79,A,1
54281629,Matias,Lopez,E65.8,21658.11,A,12
44655131,Lucia,Gimenez,B18.6,20249.49,R,10
13579508,Ana,Acosta,B23.3,66407.38,A,3
26217174,Diego,Lopez,I62.1,19261.53,A,11
51101538,Camila,Silva,M79.5,36258.99,R,2
14437048,Ana,Diaz,J46.2,66714.1,A,2
16076601,Lucas,Perez,J43.3,61869.23,A,5
19951483,Martin,Gomez,E78.8,97438.42,R,2
20504667,Jose,Gimenez,J17.6,37449.39,R,3
25607346,Luis,Gonzalez,E67.6,60563.52,A,3
17137926,Lucia,Romero,F39.6,54330.64,A,1
21193425,Martin,Gonzalez,E78.5,88736.78,R,3
20503022,Camila,Lopez,M17.1,36849.31,R,12
35989748,Martin,Rojas,S81.4,85014.56,R,1
23212777,Ana,Rojas,S25.8,19631.69,R,2
30036580,Ana,Romero,E68.7,79233.43,A,12
20521414,Pedro,Perez,C36.4,65117.08,R,9
44197440,Maria,Torres,A04.2,85109.54,A,2
53272472,Laura,Acosta,F32.2,98670.61,R,1
17546990,Lucia,Mendez,I12.8,23374.74,R,2
24503407,Nicolas,Garcia,M54.3,94605.31,A,6
11424614,Nicolas,Romero,A20.6,56664.66,A,13
39012296,Valeria,Gonzalez,B21.7,72231.99,A,1
26266749,Matias,Rojas,M19.0,59828.67,R,1
47903785,Camila,Acosta,S24.4,53816.76,R,2
39433208,Valeria,Diaz,A08.7,83241.66,R,3
25440478,Maria,Garcia,F40.5,85287.16,R,11
39059601,Lucas,Silva,S83.2,78996.99,A,2
35717860,Carlos,Lopez,B83.6,41220.31,R,7
46922920,Matias,Romero,S20.2,63597.48,A,1
48698953,Florencia,Ruiz,I24.1,39461.22,A,6
36846184,Julieta,Acosta,A47.3,23370.24,A,2
33749180,Florencia,Garcia,I63.2,29133.47,R,2
20735285,Valentina,Torres,M17.9,92263.55,A,6
39571666,Carlos,Alvarez,B19.0,95604.94,A,2
43151876,Valentina,Gomez,A28.9,24803.55,A,2
42063057,Carlos,Lopez,B20.4,16040.82,A,6
31518114,Julieta,Silva,B15.1,54146.89,R,12
23405898,Pedro,Romero,J11.9,61444.51,A,2
31797344,Maria,Gomez,I20.4,45448.18,A,9
44399325,Marta,Rodriguez,S16.5,56949.36,A,2
41936125,Valeria,Lopez,S28.1,11933.29,A,10
47637887,Nicolas,Acosta,M50.1,57283.34,R,3
45874102,Pedro,Acosta,M79.0,82550.6,R,4
43614754,Maria,Lopez,B20.2,85642.7,R,13
29955387,Jose,Romero,B22.2,96625.67,A,4
41890581,Nicolas,Lopez,M79.0,37383.48,A,11
47082543,Pedro,Gimenez,B21.3,90948.06,A,1
18451854,Nicolas,Lopez,A20.4,16177.27,A,5
52031239,Julieta,Garcia,S84.2,81245.58,R,12
18089626,Valeria,Torres,I24.8,72406.53,A,1
10910935,Matias,Sosa,A33.9,97165.03,A,2
48910261,Laura,Alvarez,B21.0,46375.05,R,4
18040788,Valeria,Romero,F44.7,18775.89,R,8
14952894,Valentina,Gimenez,J05.8,84999.5,A,3
45512828,Maria,Gomez,S21.4,97119.34,R,1
46471951,Valentina,Acosta,A36.1,11061.76,A,3
30104672,Matias,Diaz,A38.9,63680.55,A,2
43024821,Martin,Gomez,C50.7,81349.5,R,1
47718837,Juan,Martinez,A37.3,51358.95,A,1
49171607,Jose,Acosta,F32.0,35003.16,A,1
49927742,Nicolas,Alvarez,I14.5,23825.33,A,2
19401308,Valeria,Garcia,J03.8,99122.13,R,1
10482527,Florencia,Suarez,A06.4,88324.64,A,4
16240552,Pedro,Rojas,E10.7,92636.57,R,3
41284354,Laura,Silva,J01.9,55613.32,R,9
39221279,Pedro,Gonzalez,A48.2,21609.5,R,1
39681976,Carlos,Torres,S03.1,10957.71,A,6
17475828,Carlos,Diaz,S82.9,83141.01,A,3
16332228,Laura,Gomez,M79.6,11175.65,R,1
40491526,Maria,Garcia,J47.0,91547.01,R,1
36493425,Jose,Rodriguez,F41.4,55033.83,R,3
42678992,Pedro,Alvarez,E78.0,69249.02,A,1
23148183,Nicolas,Sosa,C50.7,64000.85,R,11
36404858,Martin,Alvarez,S26.7,78886.32,A,9
32107513,Pedro,Martinez,B19.3,26629.08,A,1
21792028,Nicolas,Alvarez,S22.2,34796.76,A,4
23709385,Matias,Romero,A02.3,49625.91,R,2
43842001,Camila,Mendez,S28.0,46096.16,A,2
46893546,Sofia,Suarez,M15.2,63461.03,R,1
19139524,Carlos,Lopez,C30.2,27386.47,A,2
37113288,Florencia,Lopez,S07.7,75282.94,A,1
29515715,Julieta,Lopez,I61.0,15954.02,R,2
43658168,Julieta,Torres,C20.7,46537.72,R,3
54187752,Valentina,Perez,I66.3,88437.49,R,3
31110365,Pedro,Ruiz,S15.6,20458.64,R,1
14832302,Marta,Lopez,S11.5,46265.41,R,2
27815727,Jose,Perez,I69.9,72386.91,R,3
38239207,Marta,Martinez,E65.6,17764.57,A,1
21193675,Luis,Acosta,B83.3,99002.51,R,2
24909009,Martin,Martinez,C50.3,60133.82,A,1
25998311,Lucia,Gomez,B15.1,22496.21,A,13
21039806,Lucas,Alvarez,S18.7,80792.64,R,6
44288171,Nicolas,Torres,J04.1,47377.9,R,11
41954998,Luis,Silva,M52.5,26832.83,R,3
40203332,Julieta,Rodriguez,J42.6,73335.78,A,3
53826702,Marta,Alvarez,S21.6,23603.34,R,2
18037060,Carlos,Acosta,C43.7,48259.68,R,1
52480151,Florencia,Acosta,J17.4,60920.93,R,13
42824752,Sofia,Gomez,S56.5,42293.73,R,10
48651226,Nicolas,Alvarez,F33.6,52885.68,R,1
30657915,Maria,Alvarez,M18.8,73785.75,R,3
35985721,Pedro,Suarez,F41.2,81455.1,A,1
32753314,Valentina,Romero,E78.8,33300.51,A,2
33283933,Juan,Alvarez,B22.8,70266.94,R,1
35694796,Jorge,Silva,S19.6,22900.08,R,1
14939694,Julieta,Ruiz,C50.5,20728.58,R,11
17107645,Marta,Torres,E65.5,24464.06,A,8
17496084,Lucas,Fernandez,F40.6,41835.66,R,8
10406620,Valeria,Sosa,A06.2,73573.01,A,2
37255156,Marta,Alvarez,J42.7,12199.21,R,3
39237574,Camila,Fernandez,E68.5,43050.88,A,3
52411740,Luis,Torres,J41.5,88492.31,R,2
27198813,Marta,Rodriguez,C05.6,69409.0,A,11
16539577,Pedro,Romero,F41.7,49837.02,R,1
41702672,Lucia,Romero,E14.6,18043.99,R,3
43719086,Sofia,Gimenez,S25.5,52901.0,R,13
39830833,Lucia,Lopez,E66.1,64295.94,A,1
32747205,Juan,Ruiz,M79.3,89044.4,A,2
28349786,Ana,Gimenez,E68.9,99314.56,R,2
51738384,Martin,Silva,S58.0,18747.41,R,12
45006439,Maria,Ruiz,F41.4,59815.44,R,2
17313326,Matias,Mendez,J45.1,35682.0,A,3
40361000,Valeria,Sosa,B16.3,72203.81,R,2
39008866,Valentina,Acosta,S51.4,75230.44,A,10
50484217,Carlos,Suarez,J43.8,56133.1,R,2
39816759,Ana,Gomez,J04.8,89307.33,R,5
28713486,Diego,Martinez,S59.7,11306.95,A,1
18408963,Jose,Torres,C05.3,66525.15,A,2
11044236,Sofia,Torres,I23.7,15866.11,A,1
48008434,Maria,Mendez,I15.6,57203.66,A,12
22963462,Valentina,Romero,E13.2,99270.94,R,3
34160172,Valeria,Gomez,B81.9,72843.35,R,3
21967108,Carlos,Rojas,F37.2,52827.13,R,6
37691626,Julieta,Suarez,B82.6,77936.65,A,1
41421963,Ana,Rodriguez,A33.9,95783.44,A,2
25401545,Martin,Perez,J01.4,90018.39,R,10
54936852,Jorge,Rodriguez,J12.4,72516.85,A,3
33872712,Maria,Rodriguez,M79.2,60487.81,R,3
36684725,Julieta,Romero,A49.2,68611.7,R,1
14638345,Nicolas,Acosta,E66.2,32332.2,A,6
13888066,Valeria,Ruiz,C43.3,29191.94,R,1
43769710,Valeria,Lopez,M19.0,57249.19,R,12
22407919,Diego,Torres,I24.6,97967.94,R,4
39626332,Jorge,Acosta,M18.0,94299.04,R,8
14155970,Valentina,Suarez,B80.6,39848.99,R,1
22462692,Camila,Suarez,I14.9,24198.07,A,3
39108773,Sofia,Garcia,A37.6,46283.66,A,2
19445342,Jose,Gomez,S10.3,27204.58,A,2
21938842,Jose,Lopez,B81.0,73493.21,A,2
